samplenumber,sample.id,sam,plate,row,col,Num,Trial,con,Inoc,Substrate,Treatment,Type,T.T,Merge.ID,is.control,is.water,is.pythium,Shannon,Simpson,Block,Score
104,104-16s_S104,104,2,H,1,20,T2,19.5,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,16,0_Hammermilled-PTS_16s,104-16s_S104_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,4.7405467431538,0.989135003446201,3,0.5
105,105-16s_S105,105,2,A,2,21,T2,26.7,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,16,0_Hammermilled-PTS_16s,105-16s_S105_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.85089784409559,0.995787168426774,2,0.5
107,107-16s_S107,107,2,C,2,23,T2,16.2,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,16,0_Hammermilled-PTS_16s,107-16s_S107_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,6.16813254583096,0.996798875069798,2,0
108,108-16s_S108,108,2,D,2,24,T2,16,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,16,0_Hammermilled-PTS_16s,108-16s_S108_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,6.17784606961062,0.996658950015819,1,0.5
109,109-16s_S109,109,2,E,2,25,T2,24.3,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,16,1_Disc-refined GF_16s,109-16s_S109_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.98380884582927,0.995936018288408,1,2
110,110-16s_S110,110,2,F,2,26,T2,23.6,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,16,1_Disc-refined GF_16s,110-16s_S110_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.9005141711031,0.995062524961705,3,1
111,111-16s_S111,111,2,G,2,27,T2,24,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,16,1_Disc-refined GF_16s,111-16s_S111_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,6.05219647898387,0.995029804532741,2,1.5
112,112-16s_S112,112,2,H,2,28,T2,22.8,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,16,1_Disc-refined GF_16s,112-16s_S112_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.8332828157558,0.995098118713564,3,1.5
113,113-16s_S113,113,2,A,3,29,T2,13.8,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,16,1_Disc-refined GF_16s,113-16s_S113_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.45329305858965,0.993753484719217,2,3
114,114-16s_S114,114,2,B,3,30,T2,14.1,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,16,1_Disc-refined GF_16s,114-16s_S114_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,4.87016204841773,0.989832169500947,1,3
116,116-16s_S116,116,2,D,3,32,T2,12.6,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,16,0_Disc-refined GF_16s,116-16s_S116_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,4.72834756360702,0.988924322214018,3,0.5
117,117-16s_S117,117,2,E,3,33,T2,16.8,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,16,0_Disc-refined GF_16s,117-16s_S117_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.1536820148454,0.991754544807597,2,0.5
118,118-16s_S118,118,2,F,3,34,T2,18.5,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,16,0_Disc-refined GF_16s,118-16s_S118_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.54395819231324,0.992027247857397,3,1.5
119,119-16s_S119,119,2,G,3,35,T2,14,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,16,0_Disc-refined GF_16s,119-16s_S119_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.66214139873207,0.994856208878482,2,0.5
120,120-16s_S120,120,2,H,3,36,T2,22.8,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,16,0_Disc-refined GF_16s,120-16s_S120_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.32908266320928,0.99333445773389,1,0.5
