samplenumber,sample.id,sam,plate,row,col,Num,Trial,con,Inoc,Substrate,Treatment,Type,T.T,Merge.ID,is.control,is.water,is.pythium,Shannon,Simpson,Block,Score
165,165-16s_S165,165,2,E,9,17,T3,16.1,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,16,1_Hammermilled-PTS_16s,165-16s_S165_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,6.09283525114101,0.996617890465262,2,0.5
166,166-16s_S166,166,2,F,9,18,T3,17.8,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,16,1_Hammermilled-PTS_16s,166-16s_S166_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.65411148611565,0.995115900003052,1,2
167,167-16s_S167,167,2,G,9,19,T3,22.9,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,16,0_Hammermilled-PTS_16s,167-16s_S167_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,6.14634406067708,0.995450760352713,1,0.5
168,168-16s_S168,168,2,H,9,20,T3,28.6,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,16,0_Hammermilled-PTS_16s,168-16s_S168_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.87001577583637,0.993570751885692,3,0.5
169,169-16s_S169,169,2,A,10,21,T3,33,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,16,0_Hammermilled-PTS_16s,169-16s_S169_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,4.97603271051337,0.988807812180685,2,0.5
170,170-16s_S170,170,2,B,10,22,T3,42.5,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,16,0_Hammermilled-PTS_16s,170-16s_S170_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.18487922719536,0.992530798271869,3,0.5
171,171-16s_S171,171,2,C,10,23,T3,34.7,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,16,0_Hammermilled-PTS_16s,171-16s_S171_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.75088362739043,0.993788948338642,2,0.5
172,172-16s_S172,172,2,D,10,24,T3,36.5,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,16,0_Hammermilled-PTS_16s,172-16s_S172_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.43235609720425,0.989150227911966,1,0.5
173,173-16s_S173,173,2,E,10,25,T3,13.2,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,16,1_Disc-refined GF_16s,173-16s_S173_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.01165911289476,0.988988188475906,1,0.5
175,175-16s_S175,175,2,G,10,27,T3,18.7,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,16,1_Disc-refined GF_16s,175-16s_S175_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,6.10277935195562,0.995725356276097,2,1
176,176-16s_S176,176,2,H,10,28,T3,11,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,16,1_Disc-refined GF_16s,176-16s_S176_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,6.16233852894887,0.994862508229687,3,0.5
177,177-16s_S177,177,2,A,11,29,T3,11.1,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,16,1_Disc-refined GF_16s,177-16s_S177_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,4.80519177646225,0.98952285461201,2,1.5
178,178-16s_S178,178,2,B,11,30,T3,17.1,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,16,1_Disc-refined GF_16s,178-16s_S178_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,4.64835447452396,0.98577798047135,1,3
179,179-16s_S179,179,2,C,11,31,T3,16.7,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,16,0_Disc-refined GF_16s,179-16s_S179_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.60125712402449,0.994790916009512,1,0.5
180,180-16s_S180,180,2,D,11,32,T3,19.2,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,16,0_Disc-refined GF_16s,180-16s_S180_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.56072957857405,0.993143977716075,3,0.5
182,182-16s_S182,182,2,F,11,34,T3,22.5,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,16,0_Disc-refined GF_16s,182-16s_S182_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.55525943479457,0.994659754666913,3,1
184,184-16s_S184,184,2,H,11,37,T3,20.5,Inoculated,Extruded Green-Fibre®,1_Extruded FG,16,1_Extruded FG_16s,184-16s_S184_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.85623775916419,0.995299389607955,1,2.5
185,185-16s_S185,185,2,A,12,36,T3,22.9,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,16,0_Disc-refined GF_16s,185-16s_S185_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,4.48660695127662,0.984768434887892,1,1
186,186-16s_S186,186,2,B,12,39,T3,30,Inoculated,Extruded Green-Fibre®,1_Extruded FG,16,1_Extruded FG_16s,186-16s_S186_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.88696457385677,0.995951939278013,2,2
187,187-16s_S187,187,2,C,12,40,T3,18.3,Inoculated,Extruded Green-Fibre®,1_Extruded FG,16,1_Extruded FG_16s,187-16s_S187_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,6.23061789357188,0.996561934679729,3,0.5
189,189-16s_S189,189,2,E,12,42,T3,26.4,Inoculated,Extruded Green-Fibre®,1_Extruded FG,16,1_Extruded FG_16s,189-16s_S189_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.92400803033143,0.995869720508208,1,1
190,190-16s_S190,190,2,F,12,43,T3,23.1,Water Control,Extruded Green-Fibre®,0_Extruded FG,16,0_Extruded FG_16s,190-16s_S190_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.87313062497724,0.9949989206322,1,1.5
191,191-16s_S191,191,2,G,12,44,T3,32.1,Water Control,Extruded Green-Fibre®,0_Extruded FG,16,0_Extruded FG_16s,191-16s_S191_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.83615201528909,0.995412900557625,3,0.5
192,192-16s_S192,192,2,H,12,45,T3,20.9,Water Control,Extruded Green-Fibre®,0_Extruded FG,16,0_Extruded FG_16s,192-16s_S192_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,6.02676560796858,0.996279682010351,2,1
193,193-16s_S1,193,3,A,1,46,T3,18.1,Water Control,Extruded Green-Fibre®,0_Extruded FG,16,0_Extruded FG_16s,193-16s_S1_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.39454671881789,0.993735922121864,3,0.5
194,194-16s_S2,194,3,B,1,47,T3,17.8,Water Control,Extruded Green-Fibre®,0_Extruded FG,16,0_Extruded FG_16s,194-16s_S2_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.43190906406137,0.993724385471471,2,0.5
195,195-16s_S3,195,3,C,1,48,T3,15.9,Water Control,Extruded Green-Fibre®,0_Extruded FG,16,0_Extruded FG_16s,195-16s_S3_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,4.88720108782605,0.990368547750401,1,1.5
