sample.id,sam,plate,row,col,Num,Trial,con,Inoc,Substrate,Treatment,Type,T.T,Merge.ID,is.control,is.water,is.pythium,Shannon,Simpson,Block,Score
161-ITS_S353,161,2,A,9,13,T3,9.51,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,ITS,1_Hammermilled-PTS_ITS,161-ITS_S353_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,2.12586480671538,0.757402850093286,1,2
163-ITS_S355,163,2,C,9,15,T3,15.9,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,ITS,1_Hammermilled-PTS_ITS,163-ITS_S355_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,2.24150125608517,0.745021136113799,2,2.5
165-ITS_S357,165,2,E,9,17,T3,16.1,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,ITS,1_Hammermilled-PTS_ITS,165-ITS_S357_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,2.30863745713455,0.751574183148366,2,0.5
167-ITS_S359,167,2,G,9,19,T3,22.9,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,ITS,0_Hammermilled-PTS_ITS,167-ITS_S359_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,2.01488325047398,0.722843588529623,1,0.5
168-ITS_S360,168,2,H,9,20,T3,28.6,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,ITS,0_Hammermilled-PTS_ITS,168-ITS_S360_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,1.58335130708074,0.638448979276751,3,0.5
169-ITS_S361,169,2,A,10,21,T3,33,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,ITS,0_Hammermilled-PTS_ITS,169-ITS_S361_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,1.84244504850053,0.695216385398802,2,0.5
170-ITS_S362,170,2,B,10,22,T3,42.5,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,ITS,0_Hammermilled-PTS_ITS,170-ITS_S362_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,2.31681366970191,0.751374629572852,3,0.5
171-ITS_S363,171,2,C,10,23,T3,34.7,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,ITS,0_Hammermilled-PTS_ITS,171-ITS_S363_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,2.00055417658081,0.721107139464692,2,0.5
173-ITS_S365,173,2,E,10,25,T3,13.2,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,ITS,1_Disc-refined GF_ITS,173-ITS_S365_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,2.36183334503924,0.833480143385963,1,0.5
174-ITS_S366,174,2,F,10,26,T3,11.6,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,ITS,1_Disc-refined GF_ITS,174-ITS_S366_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,1.93515310247024,0.708811831752208,3,1.5
175-ITS_S367,175,2,G,10,27,T3,18.7,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,ITS,1_Disc-refined GF_ITS,175-ITS_S367_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,2.54161489708313,0.860237812493602,2,1
177-ITS_S369,177,2,A,11,29,T3,11.1,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,ITS,1_Disc-refined GF_ITS,177-ITS_S369_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,2.73018355801099,0.880564689886032,2,1.5
178-ITS_S370,178,2,B,11,30,T3,17.1,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,ITS,1_Disc-refined GF_ITS,178-ITS_S370_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,2.63118898712637,0.866884179932841,1,3
179-ITS_S371,179,2,C,11,31,T3,16.7,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,ITS,0_Disc-refined GF_ITS,179-ITS_S371_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,2.31177569706554,0.804880955448478,1,0.5
18-ITS_S210,18,1,B,3,3,T1,26,Inoculated,Peatlite,1_Peatlite,ITS,1_Peatlite_ITS,18-ITS_S210_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,1.92635613501095,0.676979964110717,2,3
182-ITS_S374,182,2,F,11,34,T3,22.5,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,ITS,0_Disc-refined GF_ITS,182-ITS_S374_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,2.1931969728347,0.80450525376283,3,1
183-ITS_S375,183,2,G,11,35,T3,17.8,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,ITS,0_Disc-refined GF_ITS,183-ITS_S375_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,2.51891826105543,0.858264190529266,2,0.5
184-ITS_S376,184,2,H,11,37,T3,20.5,Inoculated,Extruded Green-Fibre®,1_Extruded FG,ITS,1_Extruded FG_ITS,184-ITS_S376_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,1.47805125304146,0.556685018573152,1,2.5
